,编号,年月日,年,月份,日期,航班号,起飞机场,落地机场,耗油,业载,周转量
26,1601011387,160101,16,1,1,1387,PVG,NGO,国际航班,国际航班,国际航班
59,1603081173,160308,16,3,8,1173,PVG,DOY,4589,11385,11760705
104,1605051026,160505,16,5,5,1026,MIG,SHA,6486,12267,21970197
126,1606101111,160610,16,6,10,1111,SHA,SZX,6124,15040,21973440
162,1607061157,160706,16,7,6,1157,SHA,ZUH,6032,13605,21060540
210,1608151357,160815,16,8,15,1357,SHE,PVG,5906,13222,19780112
233,1609071654,160907,16,9,7,1654,TAO,NKG,3201,13275,8057925
277,1611291193,161129,16,11,29,1193,SHA,XMN,4536,13110,12572490
298,1612211163,161221,16,12,21,1163,PVG,DLC,4309,15240,16901160
304,1612211189,161221,16,12,21,1189,PVG,CGQ,5625,15940,28341320